,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
57806,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031913,Corrective Maintenance,Corrective COR,2015-08-31 17:14:21,7.0,1.0,0.0,5A283,"LUBRICANT, 1 GAL. (Used w/ 5A284 Spray Applicator), WD-40",CONSUMABLE,1.0
57807,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Carson, CO",7031913,Corrective Maintenance,Corrective COR,2015-08-31 17:14:21,7.0,2.0,0.0,5A284,"BOTTLE, SPRAY, EMPTY WD-40",CONSUMABLE,2.0
58376,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032859,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,2.0,0.0,178791,"OIL, CYCLE, 2, BSA",CONSUMABLE,2.0
58377,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032859,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,1.0,0.0,337951,"TRIMMER LINE, 954-FT. SPOOL, 0.095IN, SHAKESPEARE",CONSUMABLE,1.0
58378,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032859,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,2.0,0.0,WD-40,"WD-40, 16 OZ CAN",CONSUMABLE,2.0
58379,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032920,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,2.0,0.0,178791,"OIL, CYCLE, 2, BSA",CONSUMABLE,2.0
58380,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032920,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,2.0,0.0,WD-40,"WD-40, 16 OZ CAN",CONSUMABLE,2.0
58381,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032961,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,2.0,0.0,WD-40,"WD-40, 16 OZ CAN",CONSUMABLE,2.0
58382,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032961,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,2.0,0.0,178791,"OIL, CYCLE, 2, BSA",CONSUMABLE,2.0
58383,DRTS,Digital Multi-Purpose Range Complex (DMPRC) - GDIT,"Ft Hood, TX",7032982,PMCS,Preventive PM,2015-09-01 00:00:00,7.0,2.0,0.0,WD-40,"WD-40, 16 OZ CAN",CONSUMABLE,2.0
