,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
86253,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328476,System - Device Degraded,Corrective COR,2012-08-02 16:13:00,4.0,1.0,0.0,C9388AN,"Ink, HP Printer, Standard Yellow, 88",REPAIRABLE,1.0
86254,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328476,System - Device Degraded,Corrective COR,2012-08-02 16:13:00,4.0,1.0,0.0,C9387AN,CARTRIDGE  INK,REPAIRABLE,1.0
86255,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328476,System - Device Degraded,Corrective COR,2012-08-02 16:13:00,4.0,1.0,0.0,HP960CXI,"Ink, HP Printer, Standard Black, 88",REPAIRABLE,1.0
86270,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328532,System - Device Degraded,Corrective COR,2012-08-02 16:17:00,4.0,1.0,0.0,C9388AN,"Ink, HP Printer, Standard Yellow, 88",REPAIRABLE,1.0
86271,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328532,System - Device Degraded,Corrective COR,2012-08-02 16:17:00,4.0,1.0,0.0,C9387AN,CARTRIDGE  INK,REPAIRABLE,1.0
86272,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328532,System - Device Degraded,Corrective COR,2012-08-02 16:17:00,4.0,1.0,0.0,C9386AN,CARTRIDGE  INK,REPAIRABLE,1.0
86273,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328532,System - Device Degraded,Corrective COR,2012-08-02 16:17:00,4.0,1.0,0.0,HP960CXI,"Ink, HP Printer, Standard Black, 88",REPAIRABLE,1.0
86280,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328555,System - Device Degraded,Corrective COR,2012-08-02 16:22:00,4.0,1.0,0.0,C9388AN,"Ink, HP Printer, Standard Yellow, 88",REPAIRABLE,1.0
86281,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328555,System - Device Degraded,Corrective COR,2012-08-02 16:22:00,4.0,1.0,0.0,HP960CXI,"Ink, HP Printer, Standard Black, 88",REPAIRABLE,1.0
86282,EST,Engagement Skills Trainer (EST) 2000,Warfighter Support Center,5328555,System - Device Degraded,Corrective COR,2012-08-02 16:22:00,4.0,1.0,0.0,C9386AN,CARTRIDGE  INK,REPAIRABLE,1.0
