,device_number,device_description,site,work_order_number,work_order_priority_description,wo_type_description,problem_reported,lot_year,num_parts_from_storeroom,num_parts_from_po,repair_part_number,repair_part_name,repair_part_stocktype,total_parts_used
105499,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Carson, CO",5951394,Corrective Maintenance,Corrective COR,2013-09-16 13:00:00,5.0,1.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,1.0
105563,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5629801,System - Device Degraded,Corrective COR,2013-02-22 17:00:00,4.0,1.0,0.0,135248,MICROPHONE,REPAIRABLE,1.0
105593,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Bliss, TX",6387254,Corrective Maintenance,Corrective COR,2014-07-24 11:20:00,6.0,1.0,0.0,DTA185341A,"PLEXIGLASS, FRONT/REAR GUNNER'S",REPAIRABLE,1.0
105599,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Stewart, GA",5847123,Corrective Maintenance,Corrective COR,2013-07-18 10:45:00,5.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
105660,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Wainwright, AK",6785124,Corrective Maintenance,Corrective COR,2015-04-09 15:00:00,6.0,1.0,0.0,DTA185478,"LOCK, EXT. DR LOCKING ASSY. R/S, BAE SYS.",REPAIRABLE,1.0
105662,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5794289,System - Device Degraded,Corrective COR,2013-06-12 10:00:00,5.0,1.0,0.0,LIR-542AI,"CAMERA, DAY/NIGHT CAM, 66 LED, BLACK",REPAIRABLE,1.0
105664,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Ft Carson, CO",5302376,Corrective Maintenance,Corrective COR,2012-07-18 09:00:00,4.0,2.0,0.0,CAMERA BRKT FOAM,CAMERA BRKT FOAM - #2 CLPE CHARCOAL,REPAIRABLE,2.0
105665,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),"Camp Beauregard, LA",5236244,Corrective Maintenance,Corrective COR,2012-06-01 10:00:00,4.0,1.0,0.0,900-US-07301,"HARNESS ASSEMBLY, HMMWV GUNNER (WITH SWIVEL)",REPAIRABLE,1.0
105666,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Warfighter Support Center,5794291,System - Device Degraded,Corrective COR,2013-06-12 10:00:00,5.0,2.0,0.0,LIR-542AI,"CAMERA, DAY/NIGHT CAM, 66 LED, BLACK",REPAIRABLE,2.0
105832,GMDT,High Mobility Multipurpose Wheeled Vehicle (HMMWV) EGRESS Assistance Trainer (HEAT),Korea - Camp Humphreys,5365620,Corrective Maintenance,Corrective COR,2012-08-16 11:00:00,4.0,1.0,0.0,DTA185478,EXTERNAL DOOR LOCKING ASSY (RIGHT TRAINING LOCK),REPAIRABLE,1.0
